dzongkhag,validation_year,model,RMSE,MAE,MAPE,MASE
MONGAR,2022,SARIMA,0.044174951128126395,0.028037293450124564,7.424784327817653,1.0251742064538463
MONGAR,2023,Seasonal Naive,0.04247765625498501,0.03131641666666666,9.828934523362616,1.1940804367436941
MONGAR,2023,Holt-Winters,0.017662702187956174,0.013323457717392231,4.681572755781471,0.5080172607057489
MONGAR,2023,SARIMA,0.03673114086793576,0.031053169594309413,10.233919585511476,1.184042948020841
MONGAR,2024,Seasonal Naive,0.015432757728144363,0.011331893333333329,3.525468235379877,0.4218458319115876
MONGAR,2024,Holt-Winters,0.02148679507198163,0.015244206267130337,4.602823706076405,0.5674872402543003
MONGAR,2024,SARIMA,0.01798211880155705,0.01427842231609114,4.556354297225976,0.531534560301466
PARO,2022,Seasonal Naive,0.04371765431720901,0.03432008333333333,22.117109568902382,1.5973888795592883
PARO,2022,Holt-Winters,0.033250806918482645,0.026943717190058114,18.08135874356689,1.2540643854319296
PARO,2022,SARIMA,0.030927491454400418,0.025864950780418047,18.38287831834493,1.2038544413107428
PARO,2023,Seasonal Naive,0.024515985565544778,0.020868416666666667,13.81017720383411,0.8949226617942738
PARO,2023,Holt-Winters,0.00995757780048335,0.007671211094261173,5.732709615370677,0.3289727611499981
PARO,2023,SARIMA,0.02085884654256792,0.018115849288347242,13.922932814374056,0.7768813669360771
PARO,2024,Seasonal Naive,0.023117979858453607,0.01725229,9.992252332768004,0.7496954291297664
PARO,2024,Holt-Winters,0.018416469829894044,0.014311691427976283,8.737859271416566,0.6219122010277753
PARO,2024,SARIMA,0.019561124315719346,0.01762908313370166,11.859450219036995,0.7660689128854659
PEMAGATSHEL,2022,Seasonal Naive,0.009796338339229948,0.007762583333333333,7.473381930262006,0.3028299816300288
PEMAGATSHEL,2022,Holt-Winters,0.013528621239618361,0.010023585266611271,10.329090986502786,0.3910350474590613
PEMAGATSHEL,2022,SARIMA,0.01173706532644771,0.008683941588282252,8.969087992003166,0.33877354467336995
PEMAGATSHEL,2023,Seasonal Naive,0.012104488245688041,0.011496416666666667,10.534960668191571,0.49810114280933027
PEMAGATSHEL,2023,Holt-Winters,0.010033947698603878,0.008725115899634102,7.961605880557561,0.3780299833210294
PEMAGATSHEL,2023,SARIMA,0.012673319454807883,0.010490139761463893,9.455477368645585,0.4545025423934786
PEMAGATSHEL,2024,Seasonal Naive,0.03231553212852916,0.027841916666666664,19.259163752285843,1.2870424295383098
PEMAGATSHEL,2024,Holt-Winters,0.030521988544280645,0.022523794507381126,14.88428372012797,1.0412027143198874
PEMAGATSHEL,2024,SARIMA,0.033616645734837455,0.025203156528413175,16.598303051399267,1.1650610192795592
PUNAKHA,2022,Seasonal Naive,0.030455170594167448,0.0193783125,10.514318280188096,0.6656904748089985
PUNAKHA,2022,Holt-Winters,0.028194257288544057,0.01785717322121173,9.714205768546192,0.6134357736451493
